lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
gondol	gondol	[/V][Prs.NDef.3Pl]	3.760389738656272	4935994	l	l		2	vc	NA	NA	NA	NA	NA	nak	gondolnak	gondolnak	98125	2.058794785295351	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	gondolnak
serepel	szerepel	[/V][Prs.NDef.2Pl]	3.3582689382149256	1955482	l	l		3	vc	NA	NA	NA	NA	NA	tek	serepeltek	szerepeltek	97634	2.0566161979734163	NA	NA	FALSE	Prs.NDef.2Pl (mondotok)	3308	vc training	serepeltek
tud	tud	[/V][Prs.NDef.2Pl]	4.443445610374606	23791975	d	d		1	vc	NA	NA	NA	NA	NA	tok	tudtok	tudtok	97319	2.05521275323698	NA	NA	FALSE	Prs.NDef.2Pl (mondotok)	3308	vc training	tudtok
fizet	fizet	[/V][Prs.NDef.3Pl]	3.312678526469309	1760611	t	t		2	vc	NA	NA	NA	NA	NA	nek	fizetnek	fizetnek	97053	2.054024079926999	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	fizetnek
kíván	kíván	[/V][Prs.NDef.3Pl]	3.34193093228338	1883284	n	n		2	vc	NA	NA	NA	NA	NA	nak	kívánnak	kívánnak	96954	2.0535808468741674	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	kívánnak
igéṉel	igényel	[/V][Prs.NDef.3Pl]	3.0202948375651646	898007	l	l		3	vc	NA	NA	NA	NA	NA	nek	igéṉelnek	igényelnek	95682	2.047845360153413	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	igéṉelnek
rendez	rendez	[/V][Prs.NDef.3Pl]	3.1676024091257915	1260629	z	z		2	vc	NA	NA	NA	NA	NA	nek	rendeznek	rendeznek	95363	2.0463950205111057	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	rendeznek
kér	kér	[/V][Prs.NDef.2Pl]	3.810346657540986	5537727	r	r		1	vc	NA	NA	NA	NA	NA	tek	kértek	kértek	95086	2.045131693779892	NA	NA	FALSE	Prs.NDef.2Pl (mondotok)	3308	vc training	kértek
tölt	tölt	[/V][Prs.NDef.3Pl]	3.4380290110614276	2349708	lt	l	t	1	cc	töltenek	töltenek	enek	94093	2.040572431058009	nek	töltnek	töltnek	6	-2.1548336340743144	15682.166666666666	9.660279464630493	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	töltnek
bír	bír	[/V][Prs.NDef.3Pl]	3.1207982351394454	1131835	r	r		1	vc	NA	NA	NA	NA	NA	nak	bírnak	bírnak	90880	2.025483433908986	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	bírnak
hív	hív	[/V][Prs.NDef.3Pl]	3.369449084929666	2006476	v	v		1	vc	NA	NA	NA	NA	NA	nak	hívnak	hívnak	90273	2.0225729909451373	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	hívnak
utal	utal	[/V][Prs.NDef.3Pl]	3.040275085450411	940286	l	l		2	vc	NA	NA	NA	NA	NA	nak	utalnak	utalnak	88481	2.0138651378664507	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	utalnak
jár	jár	[/V][Prs.NDef.2Sg]	3.7366923017261673	4673876	r	r		1	vc	NA	NA	NA	NA	NA	s	járs	jársz	87649	2.0097620810721484	NA	NA	FALSE	Prs.NDef.2Sg (mondas)	4096	vc training	járs
fél	fél	[/V][Prs.NDef.3Pl]	3.767229153563195	5014343	l	l		1	vc	NA	NA	NA	NA	NA	nek	félnek	félnek	87164	2.0073522675667768	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	félnek
kereš	keres	[/V][Prs.NDef.2Sg]	3.6029811755605863	3435311	š	š		2	vc	NA	NA	NA	NA	NA	el	kerešel	keresel	87061	2.0068387667850582	NA	NA	FALSE	Prs.NDef.2Sg (mondas)	4096	vc training	kerešel
ül	ül	[/V][Prs.NDef.3Pl]	3.1292901651023888	1154184	l	l		1	vc	NA	NA	NA	NA	NA	nek	ülnek	ülnek	83951	1.9910409892370189	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	ülnek
küzd	küzd	[/V][Prs.NDef.3Pl]	2.8842471998392543	656496	zd	z	d	1	cc	küzdenek	küzdenek	enek	82211	1.9819450464602493	nek	küzdnek	küzdnek	36	-1.3766823836906703	2283.6388888888887	7.733525453586409	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	küzdnek
küzd	küzd	[/V][Prs.NDef.3Pl]	2.8842471998392543	656496	zd	z	d	1	cc	küzdenek	küzdenek	enek	82211	1.9819450464602493	nek	küzdnek	küzdnek	36	-1.3766823836906703	2283.6388888888887	7.733525453586409	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	küzdnek
minőšül	minősül	[/V][Prs.NDef.3Pl]	2.799857414624251	540558	l	l		3	vc	NA	NA	NA	NA	NA	nek	minőšülnek	minősülnek	81671	1.979082988772556	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	minőšülnek
hejez	helyez	[/V][Prs.NDef.3Pl]	3.246777970784236	1512735	z	z		2	vc	NA	NA	NA	NA	NA	nek	hejeznek	helyeznek	81236	1.976763646465166	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	hejeznek
seret	szeret	[/V][Prs.1Sg›2]	4.081747331765494	10345041	t	t		2	vc	NA	NA	NA	NA	NA	lek	seretlek	szeretlek	80199	1.9711840686492792	NA	NA	FALSE	Prs.1Sg›2 (mondalak)	1749	vc training	seretlek
hejez	helyez	[/V][Prs.NDef.2Pl]	3.246777970784236	1512735	z	z		2	vc	NA	NA	NA	NA	NA	tek	hejeztek	helyeztek	79902	1.969572765670715	NA	NA	FALSE	Prs.NDef.2Pl (mondotok)	3308	vc training	hejeztek
épül	épül	[/V][Prs.NDef.3Pl]	3.033550117492863	925838	l	l		2	vc	NA	NA	NA	NA	NA	nek	épülnek	épülnek	79519	1.9674860254472368	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	épülnek
lát	lát	[/V][Prs.NDef.2Sg]	4.031840092145486	9221997	t	t		1	vc	NA	NA	NA	NA	NA	s	láts	látsz	79179	1.9656251280223305	NA	NA	FALSE	Prs.NDef.2Sg (mondas)	4096	vc training	láts
állít	állít	[/V][Prs.NDef.3Pl]	3.44386770736415	2381511	t	t		2	vc	állítanak	állítanak	anak	78472	1.9617298370679912	nak	állítnak	állítnak	63	-1.133644335004376	1245.5873015873017	7.127362425852619	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
