lemma	krr_pred	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form	alpha	sigma
bossant	0.8556447224985327	bosszant	[/V][Prs.NDef.2Sg]	1.6866614018736934	41653	nt	n	t	2	cc	bossantas	bosszantasz	as	108	-0.8995611289710082	s	bossants	bosszantsz	1	-2.932984884457958	108	4.68213122712422	TRUE	Prs.NDef.2Sg (mondas)	4096	test	bossants	10	10
bossant	0.8556447224985327	bosszant	[/V][Prs.1Sg›2]	1.6866614018736934	41653	nt	n	t	2	cc	bossantalak	bosszantalak	alak	43	-1.2995164288783714	lak	bossantlak	bosszantlak	7	-2.087886844443701	6.142857142857143	1.8152899666382492	TRUE	Prs.1Sg›2 (mondalak)	1749	test	bossantlak	10	10
bočát	0.8134925527721302	bocsát	[/V][Prs.NDef.3Pl]	2.659027454137191	390852	t	t	NA	2	vc	bočátanak	bocsátanak	anak	21461	1.3986650700947854	nak	bočátnak	bocsátnak	50	-1.234014880121939	429.22	6.061969607993336	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
bočát	0.8134925527721302	bocsát	[/V][Prs.NDef.2Sg]	2.659027454137191	390852	t	t	NA	2	vc	bočátas	bocsátasz	as	654	-0.11740713613369054	s	bočáts	bocsátsz	6	-2.1548336340743144	109	4.6913478822291435	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
bočát	0.8134925527721302	bocsát	[/V][Prs.NDef.2Pl]	2.659027454137191	390852	t	t	NA	2	vc	bočátotok	bocsátotok	otok	364	-0.3718835008089018	tok	bočáttok	bocsáttok	104	-0.9159515451591774	3.5	1.252762968495368	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
bočát	0.8134925527721302	bocsát	[/V][Prs.1Sg›2]	2.659027454137191	390852	t	t	NA	2	vc	bočátalak	bocsátalak	alak	68	-1.1004759717517214	lak	bočátlak	bocsátlak	222	-0.5866319100073193	0.3063063063063063	-1.1831696766961728	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
boṉolít	0.8220096337355944	bonyolít	[/V][Prs.NDef.3Pl]	2.1356461792563586	117120	t	t	NA	3	vc	boṉolítanak	bonyolítanak	anak	4797	0.7479848340079394	nak	boṉolítnak	bonyolítnak	4	-2.3309248931299953	1199.25	7.0894516403821735	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
boṉolít	0.8220096337355944	bonyolít	[/V][Prs.NDef.2Pl]	2.1356461792563586	117120	t	t	NA	3	vc	boṉolítotok	bonyolítotok	otok	8	-2.0298948974660145	tok	boṉolíttok	bonyolíttok	1	-2.932984884457958	8	2.0794415416798357	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
butít	0.8224293845652814	butít	[/V][Prs.NDef.2Sg]	0.9469707006647916	7585	t	t	NA	2	vc	butítas	butítasz	as	7	-2.087886844443701	s	butíts	butítsz	1	-2.932984884457958	7	1.9459101490553132	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
buzdít	0.8323473654374897	buzdít	[/V][Prs.NDef.3Pl]	2.031524593591308	92153	t	t	NA	2	vc	buzdítanak	buzdítanak	anak	4509	0.7210953508486128	nak	buzdítnak	buzdítnak	6	-2.1548336340743144	751.5	6.622071209193029	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
buzdít	0.8323473654374897	buzdít	[/V][Prs.1Sg›2]	2.031524593591308	92153	t	t	NA	2	vc	buzdítalak	buzdítalak	alak	1068	0.0955863682345798	lak	buzdítlak	buzdítlak	72	-1.0756523880266893	14.833333333333334	2.6968769005040847	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
buzdít	0.8323473654374897	buzdít	[/V][Prs.NDef.2Sg]	2.031524593591308	92153	t	t	NA	2	vc	buzdítas	buzdítasz	as	156	-0.7398602861034962	s	buzdíts	buzdítsz	6	-2.1548336340743144	26	3.258096538021482	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
buzdít	0.8323473654374897	buzdít	[/V][Prs.NDef.2Pl]	2.031524593591308	92153	t	t	NA	2	vc	buzdítotok	buzdítotok	otok	28	-1.4858268531157386	tok	buzdíttok	buzdíttok	8	-2.0298948974660145	3.5	1.252762968495368	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
bánt	0.807058804490115	bánt	[/V][Prs.NDef.2Sg]	2.302654646830123	172044	nt	n	t	1	cc	bántas	bántasz	as	1065	0.09436472331679864	s	bánts	bántsz	21	-1.6107655897240385	50.714285714285715	3.9262076404201025	TRUE	Prs.NDef.2Sg (mondas)	4096	test	bánts	10	10
bánt	0.807058804490115	bánt	[/V][Prs.1Sg›2]	2.302654646830123	172044	nt	n	t	1	cc	bántalak	bántalak	alak	855	-0.00101876972978518	lak	bántlak	bántlak	178	-0.6825648821490639	4.803370786516854	1.569317918644675	TRUE	Prs.1Sg›2 (mondalak)	1749	test	bántlak	10	10
bánt	0.807058804490115	bánt	[/V][Prs.NDef.2Pl]	2.302654646830123	172044	nt	n	t	1	cc	bántotok	bántotok	otok	89	-0.983594877813045	tok	bánttok	bánttok	1	-2.932984884457958	89	4.48863636973214	TRUE	Prs.NDef.2Pl (mondotok)	3308	test	bánttok	10	10
bátorít	0.8108021469471502	bátorít	[/V][Prs.NDef.3Pl]	1.9473369910694915	75914	t	t	NA	3	vc	bátorítanak	bátorítanak	anak	1924	0.35122018324383636	nak	bátorítnak	bátorítnak	3	-2.455863629738295	641.3333333333334	6.463549342557542	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
bátorít	0.8108021469471502	bátorít	[/V][Prs.1Sg›2]	1.9473369910694915	75914	t	t	NA	3	vc	bátorítalak	bátorítalak	alak	1291	0.17794135780846249	lak	bátorítlak	bátorítlak	48	-1.2517436470823706	26.895833333333332	3.2919713799387513	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
bátorít	0.8108021469471502	bátorít	[/V][Prs.NDef.2Sg]	1.9473369910694915	75914	t	t	NA	3	vc	bátorítas	bátorítasz	as	237	-0.558236538447854	s	bátoríts	bátorítsz	3	-2.455863629738295	79	4.3694478524670215	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
bátorít	0.8108021469471502	bátorít	[/V][Prs.NDef.2Pl]	1.9473369910694915	75914	t	t	NA	3	vc	bátorítotok	bátorítotok	otok	27	-1.5016211202989704	tok	bátoríttok	bátoríttok	1	-2.932984884457958	27	3.295836866004329	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
bólint	0.8245786244669656	bólint	[/V][Prs.NDef.3Pl]	1.825949705664744	57403	nt	n	t	2	cc	bólintanak	bólintanak	anak	839	-0.00922292362925756	nak	bólintnak	bólintnak	2	-2.6319548887939765	419.5	6.0390635259072605	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	bólintnak	10	10
bólint	0.8245786244669656	bólint	[/V][Prs.NDef.2Sg]	1.825949705664744	57403	nt	n	t	2	cc	bólintas	bólintasz	as	260	-0.5180115364871398	s	bólints	bólintsz	1	-2.932984884457958	260	5.560681631015528	TRUE	Prs.NDef.2Sg (mondas)	4096	test	bólints	10	10
búšong	0.7984310148945892	búsong	[/V][Prs.NDef.3Pl]	0.03736199177213555	934	ng	n	g	2	cc	búšonganak	búsonganak	anak	39	-1.3419202774314587	nak	búšongnak	búsongnak	2	-2.6319548887939765	19.5	2.970414465569701	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	búšongnak	10	10
búšong	0.7984310148945892	búsong	[/V][Prs.NDef.2Sg]	0.03736199177213555	934	ng	n	g	2	cc	búšongas	búsongasz	as	2	-2.6319548887939765	s	búšongs	búsongsz	10	-1.9329848844579576	0.2	-1.6094379124341005	TRUE	Prs.NDef.2Sg (mondas)	4096	test	búšongs	10	10
búšít	0.8024327078038338	búsít	[/V][Prs.NDef.2Sg]	0.5288136730671514	2896	t	t	NA	2	vc	búšítas	búsítasz	as	7	-2.087886844443701	s	búšíts	búsítsz	1	-2.932984884457958	7	1.9459101490553132	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
búšít	0.8024327078038338	búsít	[/V][Prs.1Sg›2]	0.5288136730671514	2896	t	t	NA	2	vc	búšítalak	búsítalak	alak	2	-2.6319548887939765	lak	búšítlak	búsítlak	1	-2.932984884457958	2	0.6931471805599453	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
bővít	0.7988542621945153	bővít	[/V][Prs.NDef.3Pl]	2.5128449687857826	279145	t	t	NA	2	vc	bővítenek	bővítenek	enek	1357	0.19959496320177925	nek	bővítnek	bővítnek	9	-1.978742375018633	150.77777777777777	5.015807082498649	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
bővít	0.7988542621945153	bővít	[/V][Prs.NDef.2Pl]	2.5128449687857826	279145	t	t	NA	2	vc	bővítetek	bővítetek	etek	7	-2.087886844443701	tek	bővíttek	bővíttek	2	-2.6319548887939765	3.5	1.252762968495368	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
cuppant	0.8203783572261055	cuppant	[/V][Prs.1Sg›2]	0.03080294288759742	920	nt	n	t	2	cc	cuppantalak	cuppantalak	alak	2	-2.6319548887939765	lak	cuppantlak	cuppantlak	6	-2.1548336340743144	0.3333333333333333	-1.0986122886681098	TRUE	Prs.1Sg›2 (mondalak)	1749	test	cuppantlak	10	10
dagast	0.8144241694336534	dagaszt	[/V][Prs.NDef.3Pl]	1.4185795307461468	22468	st	s	t	2	cc	dagastanak	dagasztanak	anak	258	-0.5213651784947277	nak	dagastnak	dagasztnak	2	-2.6319548887939765	129	4.859812404361672	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	dagastnak	10	10
