lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
ijest	ijeszt	[/V][Prs.1Sg›2]	1.3020382750372657	17180	st	s	t	2	cc	ijestelek	ijesztelek	elek	41	-1.3202010277382223	lek	ijestlek	ijesztlek	7	-2.087886844443701	5.857142857142857	1.7676619176489945	TRUE	Prs.1Sg›2 (mondalak)	1583	test	ijestlek
búšong	búsong	[/V][Prs.NDef.3Pl]	0.03736199177213555	934	ng	n	g	2	cc	búšonganak	búsonganak	anak	39	-1.3419202774314587	nak	búšongnak	búsongnak	2	-2.6319548887939765	19.5	2.970414465569701	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	búšongnak
kösönt	köszönt	[/V][Prs.NDef.2Sg]	2.6232584999815622	359951	nt	n	t	2	cc	kösöntes	köszöntesz	es	39	-1.3419202774314587	s	kösönts	köszöntsz	1	-2.932984884457958	39	3.6635616461296463	TRUE	Prs.NDef.2Sg (mondas)	3816	test	kösönts
zajong	zajong	[/V][Prs.NDef.2Pl]	0.8742117762529894	6415	ng	n	g	2	cc	zajongotok	zajongotok	otok	1	-2.932984884457958	tok	zajongtok	zajongtok	38	-1.3532012878411477	0.02631578947368421	-3.6375861597263857	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	zajongtok
irt	irt	[/V][Prs.NDef.2Sg]	2.0216145648335377	90074	rt	r	t	1	cc	irtas	irtasz	as	37	-1.3647831603909628	s	irts	irtsz	2	-2.6319548887939765	18.5	2.917770732084279	TRUE	Prs.NDef.2Sg (mondas)	3816	test	irts
leng	leng	[/V][Prs.NDef.2Sg]	1.7526762559372897	48491	ng	n	g	1	cc	lenges	lengesz	es	8	-2.0298948974660145	s	lengs	lengsz	37	-1.3647831603909628	0.21621621621621623	-1.5314763709643884	TRUE	Prs.NDef.2Sg (mondas)	3816	test	lengs
hajlong	hajlong	[/V][Prs.NDef.2Sg]	0.787339832959484	5252	ng	n	g	2	cc	hajlongas	hajlongasz	as	18	-1.6777123793546518	s	hajlongs	hajlongsz	35	-1.388916840107682	0.5142857142857142	-0.6649763035932491	TRUE	Prs.NDef.2Sg (mondas)	3816	test	hajlongs
šújt	sújt	[/V][Prs.1Sg›2]	2.2020777650972594	136478	jt	j	t	1	cc	šújtalak	sújtalak	alak	34	-1.4015059674157029	lak	šújtlak	sújtlak	8	-2.0298948974660145	4.25	1.4469189829363254	TRUE	Prs.1Sg›2 (mondalak)	1583	test	šújtlak
jajong	jajong	[/V][Prs.NDef.2Sg]	0.38214543272564394	2066	ng	n	g	2	cc	jajongas	jajongasz	as	2	-2.6319548887939765	s	jajongs	jajongsz	33	-1.4144709445800705	0.06060606060606061	-2.803360380906535	TRUE	Prs.NDef.2Sg (mondas)	3816	test	jajongs
teng	teng	[/V][Prs.NDef.2Pl]	1.0082283031273636	8734	ng	n	g	1	cc	tengetek	tengetek	etek	3	-2.455863629738295	tek	tengtek	tengtek	33	-1.4144709445800705	0.09090909090909093	-2.3978952727983707	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	tengtek
tolong	tolong	[/V][Prs.NDef.2Pl]	1.2105607427804643	13917	ng	n	g	2	cc	tolongotok	tolongotok	otok	1	-2.932984884457958	tok	tolongtok	tolongtok	33	-1.4144709445800705	0.0303030303030303	-3.49650756146648	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	tolongtok
zajong	zajong	[/V][Prs.NDef.2Sg]	0.8742117762529894	6415	ng	n	g	2	cc	zajongas	zajongasz	as	2	-2.6319548887939765	s	zajongs	zajongsz	33	-1.4144709445800705	0.06060606060606061	-2.803360380906535	TRUE	Prs.NDef.2Sg (mondas)	3816	test	zajongs
ránt	ránt	[/V][Prs.1Sg›2]	2.1327815031647908	116350	nt	n	t	1	cc	rántalak	rántalak	alak	32	-1.427834906138052	lak	rántlak	rántlak	3	-2.455863629738295	10.666666666666666	2.367123614131617	TRUE	Prs.1Sg›2 (mondalak)	1583	test	rántlak
füṯṯent	füttyent	[/V][Prs.NDef.2Sg]	0.5728431493968784	3205	nt	n	t	2	cc	füṯṯentes	füttyentesz	es	31	-1.4416231906236852	s	füṯṯents	füttyentsz	1	-2.932984884457958	31	3.4339872044851463	TRUE	Prs.NDef.2Sg (mondas)	3816	test	füṯṯents
akast	akaszt	[/V][Prs.1Sg›2]	2.0187556513332554	89483	st	s	t	2	cc	akastalak	akasztalak	alak	30	-1.4558636297382954	lak	akastlak	akasztlak	1	-2.932984884457958	30	3.4011973816621555	TRUE	Prs.1Sg›2 (mondalak)	1583	test	akastlak
fešt	fest	[/V][Prs.1Sg›2]	2.6777795819372385	408098	št	š	t	1	cc	feštelek	festelek	elek	30	-1.4558636297382954	lek	feštlek	festlek	2	-2.6319548887939765	15	2.70805020110221	TRUE	Prs.1Sg›2 (mondalak)	1583	test	feštlek
hőzöng	hőzöng	[/V][Prs.NDef.2Pl]	0.5271609330337924	2885	ng	n	g	2	cc	hőzöngötök	hőzöngötök	ötök	1	-2.932984884457958	tök	hőzöngtök	hőzöngtök	30	-1.4558636297382954	0.03333333333333333	-3.4011973816621555	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	hőzöngtök
kukkant	kukkant	[/V][Prs.NDef.2Sg]	0.995564582543706	8483	nt	n	t	2	cc	kukkantas	kukkantasz	as	30	-1.4558636297382954	s	kukkants	kukkantsz	1	-2.932984884457958	30	3.4011973816621555	TRUE	Prs.NDef.2Sg (mondas)	3816	test	kukkants
