word1	word2	segment1	segment2	dist	phon_dist	length
dűsöng	čapong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""č"", ""a"", ""p"", ""o"", ""n"", ""g""]"	[0.736842105263158, 0.925, 0.875, 0.6, 0.0, 0.0]	3.1368421052631583	6
dűsöng	félt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""f"", ""é"", ""l"", ""t""]"	[1.0, 1.0, 0.7241379310344828, 0.7894736842105263, 0.7142857142857143, 0.8275862068965517]	5.055483536427275	6
dűsöng	ring	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""r"", ""i"", ""n"", ""g""]"	[1.0, 1.0, 0.6428571428571428, 0.6666666666666667, 0.0, 0.0]	3.3095238095238093	6
dűsöng	üvölt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""ü"", ""v"", ""ö"", ""l"", ""t""]"	[1.0, 0.5555555555555556, 0.8666666666666667, 0.0, 0.7142857142857143, 0.8275862068965517]	3.9640941434044885	6
dűsöng	hajlong	"[""d"", ""-"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""h"", ""a"", ""j"", ""l"", ""o"", ""n"", ""g""]"	[0.9, 1.0, 0.8918918918918919, 0.6428571428571428, 0.6, 0.0, 0.0]	4.0347490347490345	7
dűsöng	šért	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""š"", ""é"", ""r"", ""t""]"	[1.0, 1.0, 0.4285714285714286, 0.7894736842105263, 0.7142857142857143, 0.8275862068965517]	4.759917033964221	6
dűsöng	fárast	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""f"", ""á"", ""r"", ""a"", ""s"", ""t""]"	[0.9230769230769231, 0.8974358974358975, 0.6428571428571428, 0.8378378378378378, 0.8648648648648649, 0.8275862068965517]	4.993658872969218	6
dűsöng	žong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""ž"", ""o"", ""n"", ""g""]"	[1.0, 1.0, 0.6571428571428571, 0.6, 0.0, 0.0]	3.257142857142857	6
dűsöng	feseng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""f"", ""e"", ""s"", ""e"", ""n"", ""g""]"	[0.9230769230769231, 0.85, 0.0, 0.6470588235294117, 0.0, 0.0]	2.4201357466063347	6
dűsöng	óhajt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""ó"", ""h"", ""a"", ""j"", ""t""]"	[1.0, 0.7435897435897436, 0.7272727272727273, 0.8378378378378378, 0.7931034482758621, 0.8275862068965517]	4.9293899638727225	6
